content,content_zh,rating,product_id,date,ai_sentiment,ai_aspects_json,ai_aspects_json_zh,ai_pain_points,ai_highlights,ai_evidence_level,annotation_status,reviewer_notes
Very efficient,非常高效,5,B0B283QP2N,2025-01-28 08:00:00,positive,"[{""key"": ""other"", ""polarity"": ""positive"", ""evidence_span"": ""Very efficient"", ""evidence_level"": ""certain""}]","[{""key"": ""other"", ""polarity"": ""positive"", ""evidence_span"": ""Very efficient"", ""evidence_level"": ""certain"", ""label_zh"": ""其他"", ""evidence_span_zh"": ""非常高效"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]",[],"[""Very efficient""]",certain,ai_pending_review,
That one of the charger did not work,其中一个充电器坏了。,2,B0B283QP2N,2025-03-13 08:00:00,negative,"[{""key"": ""build_quality"", ""polarity"": ""negative"", ""evidence_span"": ""one of the charger did not work"", ""evidence_level"": ""certain""}]","[{""key"": ""build_quality"", ""polarity"": ""negative"", ""evidence_span"": ""one of the charger did not work"", ""evidence_level"": ""certain"", ""label_zh"": ""做工"", ""evidence_span_zh"": ""其中一个充电器无法使用。"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""charger not working""]",[],certain,ai_pending_review,
Had my iPad off and charging for an hour. Only to charge to like 22%. Crazy.,我的iPad关机充电一小时，结果只充到22%左右，太离谱了。,2,B0B283QP2N,2025-02-14 00:00:00,negative,"[{""key"": ""charging_speed"", ""polarity"": ""negative"", ""evidence_span"": ""Only to charge to like 22%. Crazy."", ""evidence_level"": ""certain""}]","[{""key"": ""charging_speed"", ""polarity"": ""negative"", ""evidence_span"": ""Only to charge to like 22%. Crazy."", ""evidence_level"": ""certain"", ""label_zh"": ""充电速度"", ""evidence_span_zh"": ""只能充到22%左右，太离谱了。"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""Slow charging speed""]",[],certain,ai_pending_review,
both worked perfectly for the first month. one of the plugs in stopped working after that. charged fast,第一个月两个都工作正常。之后其中一个插头停止工作，充电速度很快。,3,B09KR8P3L5,2025-01-02 08:00:00,neutral,"[{""key"": ""charging_speed"", ""polarity"": ""positive"", ""evidence_span"": ""charged fast"", ""evidence_level"": ""certain""}, {""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""one of the plugs in stopped working after that"", ""evidence_level"": ""certain""}]","[{""key"": ""charging_speed"", ""polarity"": ""positive"", ""evidence_span"": ""charged fast"", ""evidence_level"": ""certain"", ""label_zh"": ""充电速度"", ""evidence_span_zh"": ""快速充电"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}, {""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""one of the plugs in stopped working after that"", ""evidence_level"": ""certain"", ""label_zh"": ""耐用性"", ""evidence_span_zh"": ""之后其中一个插头不工作了。"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""plug stopped working after one month""]","[""fast charging""]",certain,ai_pending_review,
As advertised!,正如广告所说！,5,B0B283QP2N,2025-01-04 08:00:00,positive,[],[],[],"[""as advertised""]",certain,ai_pending_review,
Did not work out for my iPhone 16z,我的iPhone 16z没成功。,3,B0CQQW59NF,2025-07-07 08:00:00,negative,"[{""key"": ""compatibility"", ""polarity"": ""negative"", ""evidence_span"": ""Did not work out for my iPhone 16z"", ""evidence_level"": ""certain""}]","[{""key"": ""compatibility"", ""polarity"": ""negative"", ""evidence_span"": ""Did not work out for my iPhone 16z"", ""evidence_level"": ""certain"", ""label_zh"": ""兼容性"", ""evidence_span_zh"": ""我的iPhone 16z没成功。"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""Incompatible with iPhone 16z""]",[],certain,ai_pending_review,
No fast charging,无快速充电,1,B0B283QP2N,2025-07-08 08:00:00,negative,"[{""key"": ""charging_speed"", ""polarity"": ""negative"", ""evidence_span"": ""No fast charging"", ""evidence_level"": ""certain""}]","[{""key"": ""charging_speed"", ""polarity"": ""negative"", ""evidence_span"": ""No fast charging"", ""evidence_level"": ""certain"", ""label_zh"": ""充电速度"", ""evidence_span_zh"": ""无快速充电"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""No fast charging""]",[],certain,ai_pending_review,
"I think i received used items because the cords was not properly wrapped inside the box the were wrapped around the plastic it was sitting in, I didn’t think much about it because everything was inside the box but now that i have used the 6 inch a couple times now it won’t charge my phone and im very pissed and the 10 inch is to long to be dragging around the house for a short distance to use it. I’m mad!",我认为我收到了二手商品，因为盒子里的线没有整齐地收纳，而是缠绕在放置的塑料托架上。当时没多想，毕竟所有东西都在盒子里。但现在用了六英寸的线几次后，它已经无法给手机充电了，我非常恼火。而十英寸的线又太长，在室内短距离使用时拖来拖去很不方便。我气坏了！,1,B0B283QP2N,2025-03-15 08:00:00,negative,"[{""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""used the 6 inch a couple times now it won’t charge my phone"", ""evidence_level"": ""certain""}, {""key"": ""packaging"", ""polarity"": ""negative"", ""evidence_span"": ""cords was not properly wrapped inside the box"", ""evidence_level"": ""certain""}, {""key"": ""ease_of_use"", ""polarity"": ""negative"", ""evidence_span"": ""10 inch is to long to be dragging around the house"", ""evidence_level"": ""certain""}]","[{""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""used the 6 inch a couple times now it won’t charge my phone"", ""evidence_level"": ""certain"", ""label_zh"": ""耐用性"", ""evidence_span_zh"": ""used the 6 inch a couple times now it won’t charge my phone"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""packaging"", ""polarity"": ""negative"", ""evidence_span"": ""cords was not properly wrapped inside the box"", ""evidence_level"": ""certain"", ""label_zh"": ""包装"", ""evidence_span_zh"": ""cords was not properly wrapped inside the box"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""ease_of_use"", ""polarity"": ""negative"", ""evidence_span"": ""10 inch is to long to be dragging around the house"", ""evidence_level"": ""certain"", ""label_zh"": ""易用性"", ""evidence_span_zh"": ""10 inch is to long to be dragging around the house"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""received used items"", ""cable stopped charging"", ""10 inch too long for short distances""]",[],certain,reviewed,"AI Aspects: 修正 {key: ""charging_speed""} → {key: ""durability"", polarity: ""negative"", evidence_span: ""used the 6 inch a couple times now it won’t charge my phone"", evidence_level: ""certain""}; 用几次后无法充电属于耐用性/失效问题，非充电速度。修正 {key: ""portability""} → {key: ""ease_of_use"", polarity: ""negative"", evidence_span: ""10 inch is to long to be dragging around the house"", evidence_level: ""certain""}; 线太长导致室内短距离使用不便。"
They only charge a couple of times they’re not worth the money,他们只收几次钱，根本不值这个价。,1,B09KR8P3L5,2025-05-20 08:00:00,negative,"[{""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""only charge a couple of times"", ""evidence_level"": ""certain""}, {""key"": ""value_for_money"", ""polarity"": ""negative"", ""evidence_span"": ""not worth the money"", ""evidence_level"": ""certain""}]","[{""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""only charge a couple of times"", ""evidence_level"": ""certain"", ""label_zh"": ""耐用性"", ""evidence_span_zh"": ""only charge a couple of times"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""value_for_money"", ""polarity"": ""negative"", ""evidence_span"": ""not worth the money"", ""evidence_level"": ""certain"", ""label_zh"": ""性价比"", ""evidence_span_zh"": ""not worth the money"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""Short battery life"", ""Poor value for money""]",[],certain,reviewed,"AI Aspects: 修正 {key: ""battery_life""} → {key: ""durability"", polarity: ""negative"", evidence_span: ""only charge a couple of times"", evidence_level: ""certain""}; 充电器只能用几次更像产品寿命短，不是手机续航。"
Worked as advertised,按广告所述工作。,5,B0CQC97GKT,2025-08-03 08:00:00,positive,[],[],[],"[""Works as advertised""]",certain,ai_pending_review,
