content,rating,product_id,date
Very efficient,5,B0B283QP2N,2025-01-28 08:00:00
That one of the charger did not work,2,B0B283QP2N,2025-03-13 08:00:00
Had my iPad off and charging for an hour. Only to charge to like 22%. Crazy.,2,B0B283QP2N,2025-02-14 00:00:00
both worked perfectly for the first month. one of the plugs in stopped working after that. charged fast,3,B09KR8P3L5,2025-01-02 08:00:00
As advertised!,5,B0B283QP2N,2025-01-04 08:00:00
Did not work out for my iPhone 16z,3,B0CQQW59NF,2025-07-07 08:00:00
No fast charging,1,B0B283QP2N,2025-07-08 08:00:00
"I think i received used items because the cords was not properly wrapped inside the box the were wrapped around the plastic it was sitting in, I didn’t think much about it because everything was inside the box but now that i have used the 6 inch a couple times now it won’t charge my phone and im very pissed and the 10 inch is to long to be dragging around the house for a short distance to use it. I’m mad!",1,B0B283QP2N,2025-03-15 08:00:00
They only charge a couple of times they’re not worth the money,1,B09KR8P3L5,2025-05-20 08:00:00
Worked as advertised,5,B0CQC97GKT,2025-08-03 08:00:00
"Excelente producto, me encanta",5,B0B283QP2N,2025-07-01 08:00:00
Son muy buenos y carga rápido muchísimas gracias,5,B0B283QP2N,2025-07-22 08:00:00
This charger is completely bad it charges very slow u get 2% in like 3 minutes do not buy save your money now I am just going to spend the money and buy the Apple charger,1,B0B283QP2N,2025-03-20 08:00:00
"These are great. The fast charging actually works really well. I've actually purchased these not only for myself, but for a few friends as well.",5,B0B283QP2N,2025-07-02 08:00:00
"Perfect length, flexible and durable.",5,B0B283QP2N,2024-11-10 08:00:00
Excellent- yellow stands out from other white cords,5,B0CQQYB6Q5,2025-07-18 00:00:00
"Be very careful with how you handle this cord. Make sure you disconnect it from your device by pulling it at the very end and not the cord part. I’ve bought 8  in 2 separate orders so I can have plenty of charges on hand. Out of the 8 cords that I purchased,  and 4 of them either shorted out or no longer work. I was careful connecting and disconnecting them, but it doesn’t seem to matter how delicately you treat the cords….for some reason they short out or just stop working. Other than that, I love the long length and the charger has both a usb and type c plug.",2,B0CQQYB6Q5,2025-11-24 00:00:00
C charger does not secure tightly in the phone. You have to push it in with force and then not move your phone otherwise it falls out.,3,B0CQC97GKT,2025-03-06 00:00:00
Not really fast charging at all. The cords work great and love the length.<br><br>One cord did not last long. One of the metallic plates broke or something causing my phone to over heat and not charge at all.<br><br>Keep an eye on your phone when using the charger just incase &amp; inspect the plug into phone regularly,3,B0B283QP2N,2025-03-11 08:00:00
This charger is long and fast I’m definitely buying more .,5,B09KR8P3L5,2024-09-24 08:00:00
I would say these USB-C fast charging bricks and cables are required for your devices.  USB-A cables and bricks charge at less than half the speed as these USB-C cables and bricks!,5,B0B283QP2N,2025-05-13 08:00:00
As advertised,5,B0B283QP2N,2025-04-05 08:00:00
Great bargain for quality product.,5,B09KR8P3L5,2025-03-01 00:00:00
The cable was outdated and I had to buy a new one at the Apple Store for all most 3 times what I paid for something I couldn’t use. Sad!,1,B0B283QP2N,2025-01-18 08:00:00
Returning.  Connection was recognized for iPhone 14 but never charged.,1,B0B283QP2N,2024-11-23 08:00:00
Exactly as advertised- works great!!  Cords are nice and long.  😊,5,B0B283QP2N,2025-02-11 08:00:00
Doesn't charge fast as described,3,B0B283QP2N,2025-05-01 08:00:00
"Typical cheap product built in China.  The cord stopped working 35 days after purchase.  The plug is still OK, but without the cord it's useless.",1,B0CQC97GKT,2025-09-11 00:00:00
Na cargan bien. Los tengo conectados y como que se salen. Que pérdida de tiempo y dinero,1,B0B283QP2N,2025-07-21 08:00:00
Seems like good quality nice long charging cord and good value,5,B09KR8P3L5,2025-11-10 00:00:00
"My iPhone accepted the charger for a couple weeks and now gives an error message ""this accessory uses too much power"" I knew I should have bought from the Apple Store. Don't buy this unless you want to be disappointed",1,B09KR8P3L5,2025-01-13 08:00:00
a good quality,4,B09KR8P3L5,2025-08-03 08:00:00
Stopped working within one month.,1,B0CQC97GKT,2025-07-13 08:00:00
"Cord is good quality, color to match , fast charge.",4,B0CQQXLKQQ,2024-11-11 00:00:00
"Was very easy to use and plug into the wall like normal. Connected instantly to my phone like a normal charger. Very strong cord, good value for your buck! Get 2 for the price of 1 authentic charger.",5,B09KR8P3L5,2024-07-12 08:00:00
This one works great. I upgraded a phone and wanted another charger because I didn’t know that apple phones had switched. These work great. They aren’t super fast chargers but they get the job done,5,B0CQXDFHL3,2025-04-06 08:00:00
Started out perfect but stopped working after 5 months,3,B0CQQXLKQQ,2025-11-23 00:00:00
The charger was just plugged into the wall and not plugged into the phone (thankfully) when I noticed a smell. Come to find out the charger had melted the plastic of the cord and burned some of the carpet below it.,1,B0CQQXLKQQ,2025-02-07 00:00:00
Charges fast and the long charger is perfect for my side of the bed!,5,B0B283QP2N,2025-03-18 08:00:00
"I’m really disappointed. My charger stopped working, so I quickly ordered a new one here. I have an Android SE, and I suspected the end piece might not fit, but it literally says it’s compatible with the iPhone SE. I even paid for faster shipping to get it today, and now it doesn’t even work. Very frustrating.",1,B0CQQXLKQQ,2025-10-19 00:00:00
Charges super fast and love the length of the charger. Very good quality.,5,B0B283QP2N,2024-12-05 08:00:00
"I am not going to go into a lot of detail here because I am anything but an expert when it comes to phone chargers. What I can tell you is, they arrived quickly and they charged my phone very fast. My last charger was really old and the cord with it had become quite frayed and it was slow. These are a dream in comparison to what I had . I appreciate the very long cords as well. At home I don’t really need anything quite so long. I have a reclining chair in my bedroom where I watch TV and I always plug my charger in next to it but when you visit other people or places, you don’t have the same set up so for those instances, I’m glad to have the longer cords. I would recommend them.",5,B0B283QP2N,2025-05-19 08:00:00
The charger seems to work well. The cord doesn’t connect real well to the phone all of the time.,4,B0B283QP2N,2024-12-29 08:00:00
"Worked great for a while , then eventually the end that were plugged into the box got this burnt looking color and barely works now , only had for maybe 4 or so months",3,B0CQQXLKQQ,2025-12-09 00:00:00
Love the color,5,B0CQC97GKT,2024-06-30 00:00:00
Fast charging and durable. I was debating if I wanted to get this chargers because it has a really good price for two. But i am so glad I got them. They charge my phone fast and the cord is long. I definitely recommend this chargers. I will be buying again.,5,B0CQQW59NF,2025-06-07 08:00:00
I only got 1 cable but 2 blocks,3,B09KR8P3L5,2024-08-04 00:00:00
Excellent,5,B0B283QP2N,2025-07-31 08:00:00
I just opened and found out it did not work.  Both units did bot work.,1,B09KR8P3L5,2024-08-03 08:00:00
DO NOT BUY THESE. I used them for less than a week and my phone battery completely died and had to be replaced by Apple.,1,B0B283QP2N,2025-07-16 08:00:00
