content,content_zh,rating,product_id,date,ai_sentiment,ai_aspects_json,ai_aspects_json_zh,ai_pain_points,ai_highlights,ai_evidence_level,annotation_status,reviewer_notes
Really good quality fits perfect,质量非常好，尺码很合适。,5,B0F6V6WNTW,2026-04-02,positive,"[{""key"": ""build_quality"", ""polarity"": ""positive"", ""evidence_span"": ""Really good quality"", ""evidence_level"": ""certain""}, {""key"": ""size_fit"", ""polarity"": ""positive"", ""evidence_span"": ""fits perfect"", ""evidence_level"": ""certain""}]","[{""key"": ""做工"", ""polarity"": ""正面"", ""evidence_span"": ""Really good quality"", ""evidence_level"": ""确定""}, {""key"": ""尺寸匹配"", ""polarity"": ""正面"", ""evidence_span"": ""fits perfect"", ""evidence_level"": ""确定""}]",[],"[""good quality"", ""perfect fit""]",certain,ai_pending_review,
Sizing can be a challenge,尺码可能是个挑战。,5,B0F6V8RDYM,2025-11-13,neutral,"[{""key"": ""size_fit"", ""polarity"": ""negative"", ""evidence_span"": ""Sizing can be a challenge"", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸匹配"", ""polarity"": ""负面"", ""evidence_span"": ""Sizing can be a challenge"", ""evidence_level"": ""确定""}]","[""Sizing is challenging""]",[],certain,reviewed,
Fits great love it.,非常合身，很喜欢。,5,B0F6V6MKC9,2025-11-12,positive,"[{""key"": ""size_fit"", ""polarity"": ""positive"", ""evidence_span"": ""Fits great"", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸匹配"", ""polarity"": ""正面"", ""evidence_span"": ""Fits great"", ""evidence_level"": ""确定""}]",[],"[""great fit""]",certain,ai_pending_review,
It was very nice but the material gave me a rash.,很好，但材质让我起了皮疹。,1,B0DZ6D9652,2025-03-25,negative,"[{""key"": ""material"", ""polarity"": ""negative"", ""evidence_span"": ""the material gave me a rash"", ""evidence_level"": ""certain""}]","[{""key"": ""材质用料"", ""polarity"": ""负面"", ""evidence_span"": ""the material gave me a rash"", ""evidence_level"": ""确定""}]","[""material causes rash""]",[],certain,ai_pending_review,
This product was terrible. Very thin and no support.,这个产品太差了。非常薄，而且没有支撑力。,1,B0F6VKZ4FB,2025-12-10,negative,"[{""key"": ""thickness"", ""polarity"": ""negative"", ""evidence_span"": ""Very thin"", ""evidence_level"": ""certain""}, {""key"": ""cut_fit"", ""polarity"": ""negative"", ""evidence_span"": ""no support"", ""evidence_level"": ""certain""}]","[{""key"": ""厚度"", ""polarity"": ""负面"", ""evidence_span"": ""Very thin"", ""evidence_level"": ""确定""}, {""key"": ""版型"", ""polarity"": ""负面"", ""evidence_span"": ""no support"", ""evidence_level"": ""确定""}]","[""Too thin"", ""No support""]",[],certain,reviewed,
"The fit of this bra was terrible on me. I had really wanted it to fit, but it  looked and felt awful on me. My boobs were smashed together, spilling out of the front as well as the sides. I had to frequently adjust it during the one day I wore it,  because of how uncomfortable it was. Sadly, I will need to return it.",这款文胸的尺码对我来说非常不合适。我原本很希望它能合身，但穿上后外观和触感都很糟糕。我的胸部被挤压在一起，不仅前面溢出，两侧也跑了出来。穿了一天，因为太不舒服，我不得不频繁调整。很遗憾，我不得不退货。,2,B0F6V8RDYM,2026-01-06,negative,"[{""key"": ""size_fit"", ""polarity"": ""negative"", ""evidence_span"": ""The fit of this bra was terrible on me"", ""evidence_level"": ""certain""}, {""key"": ""comfort"", ""polarity"": ""negative"", ""evidence_span"": ""how uncomfortable it was"", ""evidence_level"": ""certain""}, {""key"": ""cut_fit"", ""polarity"": ""negative"", ""evidence_span"": ""boobs were smashed together, spilling out of the front as well as the sides"", ""evidence_level"": ""certain""}, {""key"": ""ease_of_use"", ""polarity"": ""negative"", ""evidence_span"": ""had to frequently adjust it"", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸匹配"", ""polarity"": ""负面"", ""evidence_span"": ""The fit of this bra was terrible on me"", ""evidence_level"": ""确定""}, {""key"": ""舒适度"", ""polarity"": ""负面"", ""evidence_span"": ""how uncomfortable it was"", ""evidence_level"": ""确定""}, {""key"": ""版型"", ""polarity"": ""负面"", ""evidence_span"": ""boobs were smashed together, spilling out of the front as well as the sides"", ""evidence_level"": ""确定""}, {""key"": ""易用性"", ""polarity"": ""负面"", ""evidence_span"": ""had to frequently adjust it"", ""evidence_level"": ""确定""}]","[""Poor fit"", ""Uncomfortable"", ""Requires frequent adjustment""]",[],certain,reviewed,
Not for large boobs,不适合大胸,1,B0F6VB6C79,2026-01-05,negative,"[{""key"": ""size_fit"", ""polarity"": ""negative"", ""evidence_span"": ""Not for large boobs"", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸匹配"", ""polarity"": ""负面"", ""evidence_span"": ""Not for large boobs"", ""evidence_level"": ""确定""}]","[""Not suitable for large bust""]",[],certain,ai_pending_review,
"I thought my size 42 DDD would fit better. Smooshes breasts together and then I get a bulge. So to me it runs small. Fabric is buttery but not very supportive, God forbid I'd run. Sides and back feel pretty good. Definitely meant for smaller bust",我以为我的42DDD尺码会更合身。结果把胸部挤在一起，还出现了凸起。所以对我来说，这个尺码偏小。面料很柔软，但支撑性不太好，要是跑步的话简直不敢想。两侧和后背的感觉还不错。显然更适合小胸的人穿。,2,B0F6V6WNTS,2025-08-16,negative,"[{""key"": ""size_fit"", ""polarity"": ""negative"", ""evidence_span"": ""it runs small"", ""evidence_level"": ""certain""}, {""key"": ""material"", ""polarity"": ""positive"", ""evidence_span"": ""Fabric is buttery"", ""evidence_level"": ""certain""}, {""key"": ""comfort"", ""polarity"": ""negative"", ""evidence_span"": ""not very supportive"", ""evidence_level"": ""certain""}, {""key"": ""cut_fit"", ""polarity"": ""negative"", ""evidence_span"": ""Smooshes breasts together and then I get a bulge"", ""evidence_level"": ""certain""}, {""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""Sides and back feel pretty good"", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸匹配"", ""polarity"": ""负面"", ""evidence_span"": ""it runs small"", ""evidence_level"": ""确定""}, {""key"": ""材质用料"", ""polarity"": ""正面"", ""evidence_span"": ""Fabric is buttery"", ""evidence_level"": ""确定""}, {""key"": ""舒适度"", ""polarity"": ""负面"", ""evidence_span"": ""not very supportive"", ""evidence_level"": ""确定""}, {""key"": ""版型"", ""polarity"": ""负面"", ""evidence_span"": ""Smooshes breasts together and then I get a bulge"", ""evidence_level"": ""确定""}, {""key"": ""舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""Sides and back feel pretty good"", ""evidence_level"": ""确定""}]","[""runs small for larger bust"", ""lack of support"", ""causes bulging""]","[""buttery fabric"", ""good sides and back fit""]",certain,reviewed,
"I am a 3x,and this bra was way too small in cup size! Such a disappointment.",我是3X的，这个文胸的罩杯太小了！太失望了。,2,B0F6VB7S4S,2026-01-16,negative,"[{""key"": ""size_fit"", ""polarity"": ""negative"", ""evidence_span"": ""way too small in cup size"", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸匹配"", ""polarity"": ""负面"", ""evidence_span"": ""way too small in cup size"", ""evidence_level"": ""确定""}]","[""Cup size too small""]",[],certain,ai_pending_review,
Nice material but zero support for heavier breast.,材质不错，但对大胸完全没有支撑力。,2,B0F6V6YWVD,2025-09-18,negative,"[{""key"": ""material"", ""polarity"": ""positive"", ""evidence_span"": ""Nice material"", ""evidence_level"": ""certain""}, {""key"": ""cut_fit"", ""polarity"": ""negative"", ""evidence_span"": ""zero support for heavier breast"", ""evidence_level"": ""certain""}]","[{""key"": ""材质用料"", ""polarity"": ""正面"", ""evidence_span"": ""Nice material"", ""evidence_level"": ""确定""}, {""key"": ""版型"", ""polarity"": ""负面"", ""evidence_span"": ""zero support for heavier breast"", ""evidence_level"": ""确定""}]","[""no support for larger bust""]","[""nice material""]",certain,reviewed,
