content,content_zh,rating,product_id,date,ai_sentiment,ai_aspects_json,ai_aspects_json_zh,ai_pain_points,ai_highlights,ai_evidence_level,annotation_status,reviewer_notes,
Son got this for Christmas and wore them out time and have a leak in them.,儿子圣诞节收到这个，穿了几次就漏水了。,1,Wader,2025/5/4,negative,"[{""key"": ""waterproof"", ""polarity"": ""negative"", ""evidence_span"": ""have a leak in them"", ""evidence_level"": ""certain""}, {""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""wore them out time and have a leak"", ""evidence_level"": ""certain""}]","[{""key"": ""防水性"", ""polarity"": ""负面"", ""evidence_span"": ""它们有漏洞"", ""evidence_level"": ""确定""}, {""key"": ""耐用性"", ""polarity"": ""负面"", ""evidence_span"": ""穿久了就破了，有漏洞"", ""evidence_level"": ""确定""}]","[""Leak after first use""]",[],certain,ai_pending_review,,
"The first time I wore them, I got soaked. There are definitely holes in both sides of the legs and boots. They didn’t last a minute. They do NOT breath, which is understandable but noteworthy.",第一次穿就湿透了，裤腿和靴子两侧肯定有洞，一分钟都没撑住。不透气，可以理解但值得一提。,1,Wader,2025/4/26,negative,"[{""key"": ""waterproof"", ""polarity"": ""negative"", ""evidence_span"": ""I got soaked. There are definitely holes in both sides of the legs and boots."", ""evidence_level"": ""certain""}, {""key"": ""breathability"", ""polarity"": ""negative"", ""evidence_span"": ""They do NOT breath"", ""evidence_level"": ""certain""}, {""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""They didn’t last a minute."", ""evidence_level"": ""certain""}, {""key"": ""build_quality"", ""polarity"": ""negative"", ""evidence_span"": ""There are definitely holes in both sides of the legs and boots"", ""evidence_level"": ""certain""}]","[{""key"": ""防水性"", ""polarity"": ""负面"", ""evidence_span"": ""I got soaked. There are definitely holes in both sides of the legs and boots."", ""evidence_level"": ""确定""}, {""key"": ""透气性"", ""polarity"": ""负面"", ""evidence_span"": ""They do NOT breath"", ""evidence_level"": ""确定""}, {""key"": ""耐用性"", ""polarity"": ""负面"", ""evidence_span"": ""They didn’t last a minute."", ""evidence_level"": ""确定""}, {""key"": ""做工质量"", ""polarity"": ""负面"", ""evidence_span"": ""There are definitely holes in both sides of the legs and boots"", ""evidence_level"": ""确定""}]","[""Not waterproof"", ""Holes in legs and boots"", ""Poor durability""]",[],certain,reviewed,"AI Aspects: 可补 {key: ""build_quality"", polarity: ""negative"", evidence_span: ""There are definitely holes in both sides of the legs and boots"", evidence_level: ""certain""}; 首次使用即两侧/靴子有洞，更像做工缺陷。",
"They fit me well, I wear a size shoe US10 male, and they fit snug. The pocket in the front is a big plus as well.",很合身，我穿美码10男鞋，穿着很贴身。前面的口袋也是一大亮点。,5,Wader,2025/5/15,positive,"[{""key"": ""size_fit"", ""polarity"": ""positive"", ""evidence_span"": ""They fit me well, I wear a size shoe US10 male, and they fit snug."", ""evidence_level"": ""certain""}, {""key"": ""ease_of_use"", ""polarity"": ""positive"", ""evidence_span"": ""The pocket in the front is a big plus as well."", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸合脚性"", ""polarity"": ""正面"", ""evidence_span"": ""它们很合脚，我穿美码10号男鞋，它们贴合得很好。"", ""evidence_level"": ""确定""}, {""key"": ""易用性"", ""polarity"": ""正面"", ""evidence_span"": ""前面的口袋也是一个很大的加分项。"", ""evidence_level"": ""确定""}]",[],"[""snug fit"", ""front pocket""]",certain,ai_pending_review,,
"Tried this out for the first time in the Maumee river in Ohio, very rocky lots of twigs and trees in the mucky water and these preformed flawless. 10/10 recommend anyone looking to get waiters to start with these. Boots hurt after awhile but what do you expect for paying this price? They kept me dry the whole time and is definitely one of the best purchases I’ve made in awhile",第一次在俄亥俄州莫米河试用，水里多石、多树枝和树杈，但这款表现完美。10/10推荐给想买涉水裤的人。靴子穿久了会疼，但这个价位还能指望什么？全程保持干爽，绝对是我近期最值的购买之一。,5,Wader,2024/6/23,positive,"[{""key"": ""waterproof"", ""polarity"": ""positive"", ""evidence_span"": ""kept me dry the whole time"", ""evidence_level"": ""certain""}, {""key"": ""durability"", ""polarity"": ""positive"", ""evidence_span"": ""preformed flawless"", ""evidence_level"": ""certain""}, {""key"": ""comfort"", ""polarity"": ""negative"", ""evidence_span"": ""Boots hurt after awhile"", ""evidence_level"": ""certain""}, {""key"": ""value_for_money"", ""polarity"": ""positive"", ""evidence_span"": ""what do you expect for paying this price?"", ""evidence_level"": ""certain""}]","[{""key"": ""防水性"", ""polarity"": ""正面"", ""evidence_span"": ""让我全程保持干爽"", ""evidence_level"": ""确定""}, {""key"": ""耐用性"", ""polarity"": ""正面"", ""evidence_span"": ""表现完美无瑕"", ""evidence_level"": ""确定""}, {""key"": ""穿着舒适度"", ""polarity"": ""负面"", ""evidence_span"": ""靴子穿久了会疼"", ""evidence_level"": ""确定""}, {""key"": ""性价比"", ""polarity"": ""正面"", ""evidence_span"": ""以这个价格你还期待什么？"", ""evidence_level"": ""确定""}]","[""boots hurt after prolonged use""]","[""kept dry in rocky mucky water"", ""flawless performance"", ""great value for price""]",certain,ai_pending_review,,
"Excellent quality, fit—especially for the price. Was never cold, even in coastal Oregon water. The boots are solidly built and there were no leaks whatsoever. For my first pair of waders, these were a surprisingly good investment.",质量极好，合身，尤其这个价位。即使在俄勒冈沿海水域也不冷。靴子结实，完全没漏水。作为我的第一条涉水裤，真是意外的超值投资。,4,Wader,2024/9/4,positive,"[{""key"": ""waterproof"", ""polarity"": ""positive"", ""evidence_span"": ""no leaks whatsoever"", ""evidence_level"": ""certain""}, {""key"": ""size_fit"", ""polarity"": ""positive"", ""evidence_span"": ""fit—especially for the price"", ""evidence_level"": ""certain""}, {""key"": ""build_quality"", ""polarity"": ""positive"", ""evidence_span"": ""solidly built"", ""evidence_level"": ""certain""}, {""key"": ""value_for_money"", ""polarity"": ""positive"", ""evidence_span"": ""surprisingly good investment"", ""evidence_level"": ""certain""}, {""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""Was never cold, even in coastal Oregon water"", ""evidence_level"": ""certain""}]","[{""key"": ""防水性"", ""polarity"": ""正面"", ""evidence_span"": ""no leaks whatsoever"", ""evidence_level"": ""确定""}, {""key"": ""尺寸合脚性"", ""polarity"": ""正面"", ""evidence_span"": ""fit—especially for the price"", ""evidence_level"": ""确定""}, {""key"": ""做工质量"", ""polarity"": ""正面"", ""evidence_span"": ""solidly built"", ""evidence_level"": ""确定""}, {""key"": ""性价比"", ""polarity"": ""正面"", ""evidence_span"": ""surprisingly good investment"", ""evidence_level"": ""确定""}, {""key"": ""穿着舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""Was never cold, even in coastal Oregon water"", ""evidence_level"": ""确定""}]",[],"[""Excellent quality"", ""no leaks"", ""good investment""]",certain,reviewed,"AI Aspects: 可补 {key: ""comfort"", polarity: ""positive"", evidence_span: ""Was never cold, even in coastal Oregon water"", evidence_level: ""certain""}。",
"Rating just based on fit right now. Will update on water proof seal in one week.As a 5'10 female with a bigger butt than many people, these waders actually fit! The fit is true to size. Definitely made for a taller person (due to being both for men and women). Thickness is good for the desert river work I do - is good for summer temperatures.Straps adjusted well. I could actually do a half squat without it being tight in the crotch. Definitely recommend.Came with a repair kit as well.",目前仅根据合身度评分，一周后更新防水密封性。作为5英尺10英寸、臀部较大的女性，这款涉水裤居然合身！尺码标准。肯定是为高个子设计的（男女通用）。厚度适合我做的沙漠河流工作——夏季温度合适。背带调节良好，半蹲时裆部不紧。强烈推荐。还附带了修补包。,5,Wader,2025/8/28,positive,"[{""key"": ""size_fit"", ""polarity"": ""positive"", ""evidence_span"": ""these waders actually fit! The fit is true to size"", ""evidence_level"": ""certain""}, {""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""I could actually do a half squat without it being tight in the crotch"", ""evidence_level"": ""certain""}, {""key"": ""material"", ""polarity"": ""positive"", ""evidence_span"": ""Thickness is good for the desert river work I do"", ""evidence_level"": ""certain""}, {""key"": ""ease_of_use"", ""polarity"": ""positive"", ""evidence_span"": ""Straps adjusted well"", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸合脚性"", ""polarity"": ""正面"", ""evidence_span"": ""these waders actually fit! The fit is true to size"", ""evidence_level"": ""确定""}, {""key"": ""穿着舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""I could actually do a half squat without it being tight in the crotch"", ""evidence_level"": ""确定""}, {""key"": ""材质"", ""polarity"": ""正面"", ""evidence_span"": ""Thickness is good for the desert river work I do"", ""evidence_level"": ""确定""}, {""key"": ""易用性"", ""polarity"": ""正面"", ""evidence_span"": ""Straps adjusted well"", ""evidence_level"": ""确定""}]",[],"[""true to size fit for tall curvy women"", ""good thickness for summer work"", ""includes repair kit""]",certain,reviewed,"AI Aspects: {key: ""value_for_money""} 的证据 ""Came with a repair kit"" 不够贴合，repair kit 更像配件亮点/other；评论没有直接提价格或性价比。",
Bought this on sale at $30. Frogg toggs has great quality as always. Fits perfectly coming from a big guy. Thigh inseam is more like a 29 to 30. I got the size 10. Good quality on the stitching. It came with a free registration to frogg toggs for a limited one year warranty. Can't wait to try it on next trout season.,30美元促销时买的。Frogg Toggs一如既往质量好。大个子穿着完美合身。大腿内缝长约29到30英寸。我买的是10号。缝线质量好。附赠免费注册一年有限保修。等不及下次鳟鱼季试用了。,5,Wader,2024/11/4,positive,"[{""key"": ""size_fit"", ""polarity"": ""positive"", ""evidence_span"": ""Fits perfectly coming from a big guy"", ""evidence_level"": ""certain""}, {""key"": ""build_quality"", ""polarity"": ""positive"", ""evidence_span"": ""Good quality on the stitching"", ""evidence_level"": ""certain""}, {""key"": ""value_for_money"", ""polarity"": ""positive"", ""evidence_span"": ""Bought this on sale at $30"", ""evidence_level"": ""certain""}, {""key"": ""customer_service"", ""polarity"": ""positive"", ""evidence_span"": ""came with a free registration to frogg toggs for a limited one year warranty"", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸合脚性"", ""polarity"": ""正面"", ""evidence_span"": ""大个子穿起来也很合身"", ""evidence_level"": ""确定""}, {""key"": ""做工"", ""polarity"": ""正面"", ""evidence_span"": ""缝线质量很好"", ""evidence_level"": ""确定""}, {""key"": ""性价比"", ""polarity"": ""正面"", ""evidence_span"": ""打折时30美元买的"", ""evidence_level"": ""确定""}, {""key"": ""客服"", ""polarity"": ""正面"", ""evidence_span"": ""附赠免费注册Frogg Toggs一年有限保修"", ""evidence_level"": ""确定""}]",[],"[""Great quality"", ""Perfect fit for big guy"", ""Good value at $30""]",certain,ai_pending_review,,
"Purchased for my son, an avid ocean fisherman, and he loves these! Fit great and appear well made! He’s 6’1 and weighs about 190 ordered size 12.",给热爱海钓的儿子买的，他超爱！合身且做工精良。他身高6英尺1英寸，体重约190磅，买了12号。,5,Wader,2025/3/19,positive,"[{""key"": ""size_fit"", ""polarity"": ""positive"", ""evidence_span"": ""Fit great"", ""evidence_level"": ""certain""}, {""key"": ""build_quality"", ""polarity"": ""positive"", ""evidence_span"": ""appear well made"", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸合脚性"", ""polarity"": ""正面"", ""evidence_span"": ""非常合身"", ""evidence_level"": ""确定""}, {""key"": ""做工"", ""polarity"": ""正面"", ""evidence_span"": ""做工看起来不错"", ""evidence_level"": ""确定""}]",[],"[""Great fit"", ""Well made""]",certain,ai_pending_review,,
"Needed something quick for a trip to the coast (WA state).  Took these out surf fishing in some rough waters and they performed very well.  No leaks, I was comfortably warm while wading in the water for a good 4-6 hrs.  Had light weight workout tights and light base layer.  Water was in the 50’s, weather was on-off rain and 60’s.I was mostly dry with the exception of 1-2 waves occasionally finding its way over the top of my waders.  Waste belt fit snug, and made good use of the front storage pockets.  Hiked about a quarter mile over logs and brushes to get to my spot.  Got a little warm on the hike in, but otherwise these were great for the weather up here.For the 1st time out this seemed durable.  Made sure to give it a thorough rinse back at camp and hang dry with the convenient hanging straps they provided. We’ll see how many more trips it makes it through.",去华盛顿州海岸旅行急需装备。在汹涌海浪中冲浪钓鱼，表现很好。没漏水，在水中舒适地站了4到6小时。穿了轻量运动紧身裤和薄打底。水温50多华氏度，天气时雨时晴，60多华氏度。基本干爽，只有1到2次浪偶尔漫过涉水裤顶部。腰带贴合，前储物袋很实用。徒步四分之一英里穿过原木和灌木到达钓点。徒步时有点热，但总体很适合这里的天气。第一次使用感觉耐用。回营地彻底冲洗并用提供的挂带晾干。看看还能撑几次出行。,4,Wader,2024/9/27,positive,"[{""key"": ""waterproof"", ""polarity"": ""positive"", ""evidence_span"": ""No leaks, I was comfortably warm while wading in the water for a good 4-6 hrs"", ""evidence_level"": ""certain""}, {""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""comfortably warm while wading in the water for a good 4-6 hrs"", ""evidence_level"": ""certain""}, {""key"": ""durability"", ""polarity"": ""positive"", ""evidence_span"": ""For the 1st time out this seemed durable"", ""evidence_level"": ""probable""}, {""key"": ""ease_of_use"", ""polarity"": ""positive"", ""evidence_span"": ""convenient hanging straps they provided"", ""evidence_level"": ""certain""}, {""key"": ""size_fit"", ""polarity"": ""positive"", ""evidence_span"": ""Waste belt fit snug"", ""evidence_level"": ""certain""}, {""key"": ""breathability"", ""polarity"": ""negative"", ""evidence_span"": ""Got a little warm on the hike in"", ""evidence_level"": ""certain""}]","[{""key"": ""防水性"", ""polarity"": ""正面"", ""evidence_span"": ""No leaks, I was comfortably warm while wading in the water for a good 4-6 hrs"", ""evidence_level"": ""确定""}, {""key"": ""穿着舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""comfortably warm while wading in the water for a good 4-6 hrs"", ""evidence_level"": ""确定""}, {""key"": ""耐用性"", ""polarity"": ""正面"", ""evidence_span"": ""For the 1st time out this seemed durable"", ""evidence_level"": ""推测""}, {""key"": ""易用性"", ""polarity"": ""正面"", ""evidence_span"": ""convenient hanging straps they provided"", ""evidence_level"": ""确定""}, {""key"": ""尺寸合脚性"", ""polarity"": ""正面"", ""evidence_span"": ""Waste belt fit snug"", ""evidence_level"": ""确定""}, {""key"": ""透气性"", ""polarity"": ""负面"", ""evidence_span"": ""Got a little warm on the hike in"", ""evidence_level"": ""确定""}]","[""got a little warm on hike""]","[""no leaks in rough waters"", ""comfortable for 4-6 hours"", ""convenient hanging straps""]",certain,reviewed,"AI Aspects: 可补 {key: ""breathability"", polarity: ""negative"", evidence_span: ""Got a little warm on the hike in"", evidence_level: ""certain""}; Pain Points 里的 ""waves over the top"" 是水位/使用场景，不算产品缺陷。",
These are awesome for cleaning out a mucky lake. Everyone that sees me wearing them wants a pair!,清理泥泞湖泊太棒了。看到我穿的人都说想要一条！,5,Wader,2025/7/6,positive,"[{""key"": ""ease_of_use"", ""polarity"": ""positive"", ""evidence_span"": ""awesome for cleaning out a mucky lake"", ""evidence_level"": ""certain""}, {""key"": ""aesthetics"", ""polarity"": ""positive"", ""evidence_span"": ""Everyone that sees me wearing them wants a pair"", ""evidence_level"": ""certain""}]","[{""key"": ""易用性"", ""polarity"": ""正面"", ""evidence_span"": ""清理浑浊湖泊的绝佳工具"", ""evidence_level"": ""确定""}, {""key"": ""外观设计"", ""polarity"": ""正面"", ""evidence_span"": ""每个看到我穿它们的人都想要一双"", ""evidence_level"": ""确定""}]",[],"[""great for cleaning mucky lakes"", ""attracts attention""]",certain,ai_pending_review,,
