content,rating,product_id,date
Son got this for Christmas and wore them out time and have a leak in them.,1,Wader,2025-05-04
"The first time I wore them, I got soaked. There are definitely holes in both sides of the legs and boots. They didn’t last a minute. They do NOT breath, which is understandable but noteworthy.",1,Wader,2025-04-26
"They fit me well, I wear a size shoe US10 male, and they fit snug. The pocket in the front is a big plus as well.",5,Wader,2025-05-15
"Tried this out for the first time in the Maumee river in Ohio, very rocky lots of twigs and trees in the mucky water and these preformed flawless. 10/10 recommend anyone looking to get waiters to start with these. Boots hurt after awhile but what do you expect for paying this price? They kept me dry the whole time and is definitely one of the best purchases I’ve made in awhile",5,Wader,2024-06-23
"Excellent quality, fit—especially for the price. Was never cold, even in coastal Oregon water. The boots are solidly built and there were no leaks whatsoever. For my first pair of waders, these were a surprisingly good investment.",4,Wader,2024-09-04
"Rating just based on fit right now. Will update on water proof seal in one week.As a 5'10 female with a bigger butt than many people, these waders actually fit! The fit is true to size. Definitely made for a taller person (due to being both for men and women). Thickness is good for the desert river work I do - is good for summer temperatures.Straps adjusted well. I could actually do a half squat without it being tight in the crotch. Definitely recommend.Came with a repair kit as well.",5,Wader,2025-08-28
Bought this on sale at $30. Frogg toggs has great quality as always. Fits perfectly coming from a big guy. Thigh inseam is more like a 29 to 30. I got the size 10. Good quality on the stitching. It came with a free registration to frogg toggs for a limited one year warranty. Can't wait to try it on next trout season.,5,Wader,2024-11-04
"Purchased for my son, an avid ocean fisherman, and he loves these! Fit great and appear well made! He’s 6’1 and weighs about 190 ordered size 12.",5,Wader,2025-03-19
"Needed something quick for a trip to the coast (WA state).  Took these out surf fishing in some rough waters and they performed very well.  No leaks, I was comfortably warm while wading in the water for a good 4-6 hrs.  Had light weight workout tights and light base layer.  Water was in the 50’s, weather was on-off rain and 60’s.I was mostly dry with the exception of 1-2 waves occasionally finding its way over the top of my waders.  Waste belt fit snug, and made good use of the front storage pockets.  Hiked about a quarter mile over logs and brushes to get to my spot.  Got a little warm on the hike in, but otherwise these were great for the weather up here.For the 1st time out this seemed durable.  Made sure to give it a thorough rinse back at camp and hang dry with the convenient hanging straps they provided. We’ll see how many more trips it makes it through.",4,Wader,2024-09-27
These are awesome for cleaning out a mucky lake. Everyone that sees me wearing them wants a pair!,5,Wader,2025-07-06
"They are not insulated so it the winter months be sure and wear warm clothing underneath, but other than that they are great",5,Wader,2025-05-16
"great for the price. caught 5 large salmon, Tippy Dam, Michigan",5,Wader,2024-10-25
The good news.  These waders appear to be a quality product for the price point.  The bad news is they run at least 1 size too small.  I wear size 14 and ordered 14 since the vendor states they run true to size.  See attached pictures.  Their 14 is at best a 12.,3,Wader,2025-06-26
Waders leaked along the legg seams first time I used them.,1,Wader,2025-06-16
