id,review_id,content,rating,title,sub_category,asin,ai_sentiment,ai_aspects,ai_pain_points,ai_highlights,ai_evidence_level,annotation_status,reviewed_sentiment,reviewed_aspects,reviewer_notes
1,pet_001,My dog ruined them suuuper fast,3,Don’t buy if your dog is a destroyer/super chewer,Dog Chew Toy,B0CSGTN8DT,negative,"[{""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""My dog ruined them suuuper fast"", ""evidence_level"": ""certain""}]",not durable for strong chewers,,certain,ai_annotated,,,
2,pet_002,Puppy love chess things,5,Great produxt,Dog Treats,B0C15N2QB5,neutral,[],,,uncertain,ai_annotated,,,"虽然 内容是陈述,但是评分给了5分,我认为AI Sentiment: positive"
3,pet_003,I still find myself having to clean the dogs feet.  I would not purchase again.,3,Would not recommend,Door Mat,B0BZG73ZZB,negative,[],difficult to keep clean,would not purchase again,certain,ai_annotated,,,"Aspects: N/A: 吸水力差;difficult to keep clean(负面), Pain Points :吸水力差; difficult to keep clean("
4,pet_004,"Strong, plentiful & a nice scent. Great product",5,Poop bags,Poop Bags for Dogs,B00BSYR7K8,positive,"[{""key"": ""durability"", ""polarity"": ""positive"", ""evidence_span"": ""Strong, plentiful & a nice scent."", ""evidence_level"": ""certain""}, {""key"": ""smell_odor"", ""polarity"": ""positive"", ""evidence_span"": ""a nice scent."", ""evidence_level"": ""certain""}]",,Strong and plentiful; Nice scent,certain,ai_annotated,,,
5,pet_005,"I am totally obsessed with this product! The amount of hair that comes off of my cats is amazing! I have a senior cat that can no longer groom herself and it has helped getting the mats off of her pain free. Thank you, You thank, thank you!!!!",5,Amazing!!,Deshedding Dematting Tool,B07P2N8HQH,positive,"[{""key"": ""ease_of_use"", ""polarity"": ""positive"", ""evidence_span"": ""helped getting the mats off of her pain free"", ""evidence_level"": ""certain""}, {""key"": ""palatability"", ""polarity"": ""positive"", ""evidence_span"": ""I am totally obsessed with this product"", ""evidence_level"": ""certain""}]",,helps senior cats groom; removes a lot of hair,certain,ai_annotated,,,"ai_highlights: helps senior cats groom, 梳下了好多浮毛, 梳开了好多毛结, AI Aspects: [{key: ""hair_removal"", polarity: ""positive"", evidence_span: ""The amount of hair that comes off of my cats is amazing!"", evidence_level: ""certain""}, {key: ""grooming_effectiveness"", polarity: ""positive"", evidence_span: ""helped getting the mats off of her pain free"", evidence_level: ""certain""}, {key: ""gentleness"", polarity: ""positive"", evidence_span: ""helped getting the mats off of her pain free"", evidence_level: ""certain""}]"
6,pet_006,I have used other brands in the past and these showed up in a search on reorder so I decided to give them a try. The bags a sturdy and the tape holding the rolls is easy to peel off. The scent is pleasant. They do the job intended for a cheaper cost without being cheaply made. I will order these again.,5,Cheaper Than Other Brands Without Being Cheaply Made,Dog Poop Leak Proof Bags,B0D36L4GDM,positive,"[{""key"": ""packaging"", ""polarity"": ""positive"", ""evidence_span"": ""The bags a sturdy and the tape holding the rolls"", ""evidence_level"": ""certain""}, {""key"": ""smell_odor"", ""polarity"": ""positive"", ""evidence_span"": ""The scent is pleasant."", ""evidence_level"": ""certain""}, {""key"": ""value_for_money"", ""polarity"": ""positive"", ""evidence_span"": ""cheaper cost without being cheaply made."", ""evidence_level"": ""certain""}]",,Sturdy packaging; Pleasant scent; Great value for money,certain,ai_annotated,,,"AI Aspects: [{key: ""durability"", polarity: ""positive"", evidence_span: ""The bags a sturdy"", evidence_level: ""certain""}, {key: ""ease_of_use"", polarity: ""positive"", evidence_span: ""the tape holding the rolls is easy to peel off"", evidence_level: ""certain""}, {key: ""smell_odor"", polarity: ""positive"", evidence_span: ""The scent is pleasant"", evidence_level: ""certain""}, {key: ""value_for_money"", polarity: ""positive"", evidence_span: ""cheaper cost without being cheaply made"", evidence_level: ""certain""}]. AI Highlights: Sturdy bags; Easy-to-peel tape; Pleasant scent; Great value for money"
7,pet_007,Better than name brand,5,Good price,Almohadillas para orinar,B00MW8G3YU,positive,"[{""key"": ""value_for_money"", ""polarity"": ""positive"", ""evidence_span"": ""Better than name brand"", ""evidence_level"": ""certain""}]",,Good price; Better than name brand,certain,ai_annotated,,,
8,pet_008,"I was looking for a remedy to relieve my dog's continuous itching and after reading reviews of this product I decided to try it.  I was worried my dog would not eat the ""treat"", but my dog loved it!<br>However, I had to stop feeding it to my dog after 3 days because since day 1, my dog suddenly developed diarrhea and vomitting and kept me up all night each night. I was really hopeful, but I think my dog would prefer the itching allergy to vomitting and diarrhea.  This product did not agree with my dog, but the seller was very kind and offered a full refund.  I will try another product from this company.",4,I was hopeful...,Allergy Immune Bites,B079TWY9FK,negative,"[{""key"": ""palatability"", ""polarity"": ""positive"", ""evidence_span"": ""my dog loved it!"", ""evidence_level"": ""certain""}, {""key"": ""digestibility"", ""polarity"": ""negative"", ""evidence_span"": ""my dog suddenly developed diarrhea and vomitting"", ""evidence_level"": ""certain""}, {""key"": ""customer_service"", ""polarity"": ""positive"", ""evidence_span"": ""the seller was very kind and offered a full refund"", ""evidence_level"": ""certain""}]",caused diarrhea and vomiting; dog couldn't tolerate it,dog enjoyed the taste; kind seller offered refund,certain,ai_annotated,,,
9,pet_009,Great product! Our dog loves the flavor!,5,Our dog loves this product!,Anal Gland Soft Chew Treats,B00ZJ5BJ74,positive,"[{""key"": ""palatability"", ""polarity"": ""positive"", ""evidence_span"": ""Our dog loves the flavor!"", ""evidence_level"": ""certain""}]",,Great product!; Dog loves the flavor,certain,ai_annotated,,,
10,pet_010,"Seems good. Nice fragrance, not overpowering. Only used once for dog paws after him getting into some sprayed area.",5,Used to clean paws.,Pet Wipes for Dogs,B0DP7ZCLLK,positive,"[{""key"": ""smell_odor"", ""polarity"": ""positive"", ""evidence_span"": ""Nice fragrance, not overpowering."", ""evidence_level"": ""certain""}, {""key"": ""ease_of_use"", ""polarity"": ""positive"", ""evidence_span"": ""Only used once for dog paws"", ""evidence_level"": ""certain""}]",,Nice fragrance; Easy to use,certain,ai_annotated,,,
11,pet_011,"Only worked 3 months for my 10 pound fur baby. It worked when it did, but now I’ve been seeing fleas on him daily. 😢 Purchased in November but started noticing fleas on him and in my home the beginning of March.",3,Worked for a few months.,Flea & Tick Collar For Dogs,B00WMMMHNM,neutral,"[{""key"": ""effectiveness"", ""polarity"": ""negative"", ""evidence_span"": ""now I’ve been seeing fleas on him daily"", ""evidence_level"": ""certain""}]",Product effectiveness decreased over time,Worked initially for a few months,certain,ai_annotated,,,"AI Aspects: [{key: ""effectiveness"", polarity: ""positive"", evidence_span: ""It worked when it did"", evidence_level: ""certain""}, {key: ""longevity"", polarity: ""negative"", evidence_span: ""Only worked 3 months for my 10 pound fur baby"", evidence_level: ""certain""}, {key: ""effectiveness"", polarity: ""negative"", evidence_span: ""now I've been seeing fleas on him daily"", evidence_level: ""certain""}].  AI Pain Points: Product only worked for 3 months; Effectiveness did not last long. "
